msg-id,timestamp,src_port,dst_port,app_protocol,Length,message
194,3.173704,127.0.0.1,127.0.0.1,TCP,56,54921  >  12345 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM
195,3.17384,127.0.0.1,127.0.0.1,TCP,56,"12345  >  54921 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
196,3.173884,127.0.0.1,127.0.0.1,TCP,44,54921  >  12345 [ACK] Seq=1 Ack=1 Win=65280 Len=0
197,3.174309,127.0.0.1,127.0.0.1,TCP,57,Hello World 1
199,3.174379,127.0.0.1,127.0.0.1,TCP,44,12345  >  54921 [ACK] Seq=1 Ack=14 Win=65280 Len=0
201,3.174507,127.0.0.1,127.0.0.1,TCP,60,Message Received
202,3.174534,127.0.0.1,127.0.0.1,TCP,44,54921  >  12345 [ACK] Seq=14 Ack=17 Win=65280 Len=0
339,4.177726,127.0.0.1,127.0.0.1,TCP,57,Hello World 2
340,4.177868,127.0.0.1,127.0.0.1,TCP,44,12345  >  54921 [ACK] Seq=17 Ack=27 Win=65280 Len=0
341,4.178064,127.0.0.1,127.0.0.1,TCP,60,Message Received
342,4.17808,127.0.0.1,127.0.0.1,TCP,44,54921  >  12345 [ACK] Seq=27 Ack=33 Win=65280 Len=0
382,5.178783,127.0.0.1,127.0.0.1,TCP,57,Hello World 3
383,5.178852,127.0.0.1,127.0.0.1,TCP,44,12345  >  54921 [ACK] Seq=33 Ack=40 Win=65280 Len=0
386,5.178949,127.0.0.1,127.0.0.1,TCP,60,Message Received
387,5.178966,127.0.0.1,127.0.0.1,TCP,44,54921  >  12345 [ACK] Seq=40 Ack=49 Win=65280 Len=0
575,6.17951,127.0.0.1,127.0.0.1,TCP,57,Hello World 4
576,6.179538,127.0.0.1,127.0.0.1,TCP,44,12345  >  54921 [ACK] Seq=49 Ack=53 Win=65280 Len=0
578,6.179966,127.0.0.1,127.0.0.1,TCP,60,Message Received
579,6.17999,127.0.0.1,127.0.0.1,TCP,44,54921  >  12345 [ACK] Seq=53 Ack=65 Win=65280 Len=0
685,7.180635,127.0.0.1,127.0.0.1,TCP,44,"54921  >  12345 [FIN, ACK] Seq=53 Ack=65 Win=65280 Len=0"
686,7.180684,127.0.0.1,127.0.0.1,TCP,44,12345  >  54921 [ACK] Seq=65 Ack=54 Win=65280 Len=0
687,7.180734,127.0.0.1,127.0.0.1,TCP,44,"12345  >  54921 [FIN, ACK] Seq=65 Ack=54 Win=65280 Len=0"
688,7.180753,127.0.0.1,127.0.0.1,TCP,44,54921  >  12345 [ACK] Seq=54 Ack=66 Win=65280 Len=0
